from_loc,to_loc,vehicle,weather,hour,dow,demand,distance_km,price
Kalabagan,Merul Badda,Car,Rainy,20,6,0.5,9.4,872.0
Jashimuddin (Uttara),Sayedabad Bus Terminal,CNG,Stormy,11,5,0.29,23.1,1400.0
Mirpur 2,Technical,CNG,Regular,21,4,0.49,3.1,166.0
Mohakhali Bus Terminal,Darussalam,Car,Sunny,19,0,0.14,6.2,417.0
City College / Science Lab,Kamalapur,CNG,Regular,17,3,0.95,5.3,383.0
Dhanmondi 15/32,Tikatuli,Bus,Sunny,6,3,0.165,7.7,54.0
Mugda,Asad Gate,Bike,Regular,17,1,0.5,10.9,378.0
MES,Merul Badda,Bus,Sunny,7,4,0.135,7.0,36.0
Dhanmondi 15/32,Jashimuddin (Uttara),Bike,Stormy,12,0,0.37,18.5,559.0
Khilgaon Flyover,Mirpur 2,Car,Sunny,7,2,0.81,11.5,457.0
Maniknagar,Mohakhali Bus Terminal,Bus,Rainy,7,3,0.12,10.1,57.0
Bangla Motor,Kakali (Banani),Car,Regular,2,4,0.97,7.3,338.0
Sayedabad Bus Terminal,Jagannath University,CNG,Regular,13,6,0.14,3.8,189.0
Merul Badda,Chairman Bari,CNG,Sunny,6,2,0.73,4.3,211.0
Abdullahpur,Pallabi,Bike,Rainy,20,5,0.51,10.6,456.0
Mazar Road,Chandpur,Bike,Sunny,6,5,0.2,92.7,1598.0
Farmgate,Tikatuli,Car,Sunny,16,0,0.34,6.9,294.0
Jagannath University,Bashundhara / Jamuna FP,Bike,Regular,5,6,0.7,16.1,382.0
Badda Link Road,College Gate,Car,Sunny,5,4,0.67,10.8,426.0
Middle Badda,Gulshan 2,Bus,Regular,15,4,0.261,3.7,49.0
Kalyanpur,Shahbagh,Car,Rainy,18,3,0.68,7.3,708.0
Farmgate,Jagannath University,Car,Sunny,17,6,0.59,8.1,545.0
Mohakhali Bus Terminal,Kamalapur,Bus,Sunny,15,0,0.168,7.2,44.0
Paltan,Shahjahanpur,Rickshaw,Sunny,15,2,0.87,2.4,99.0
Dhanmondi 27,Press Club,Bus,Sunny,7,3,0.273,6.1,44.0
